pair,scenario,cell,rep,proto,sysctl,dur_s,scenario_iface,scenario_v4,mbps,retransmits,recv_sys_pct,recv_soft_pct,rps,rfs,cake,flower,kernel_has_sysctl,status
hp1-hp3,gre,cell-03,1,udp,0,60,gretest0,10.10.44.5,6666.7,0,10.80,13.24,1,1,1,1,yes,ok
hp1-hp3,gre,cell-03,2,udp,0,60,gretest0,10.10.44.5,6664.4,0,10.74,13.25,1,1,1,1,yes,ok
hp1-hp3,gre,cell-03,3,udp,0,60,gretest0,10.10.44.5,6908.5,0,10.67,13.41,1,1,1,1,yes,ok
hp1-hp3,gre,cell-04,1,udp,1,60,gretest0,10.10.44.5,6635.8,0,10.72,13.26,1,1,1,1,yes,ok
hp1-hp3,gre,cell-04,2,udp,1,60,gretest0,10.10.44.5,6636.7,0,10.69,13.28,1,1,1,1,yes,ok
hp1-hp3,gre,cell-04,3,udp,1,60,gretest0,10.10.44.5,6680.0,0,10.68,13.30,1,1,1,1,yes,ok
hp1-hp3,geneve,cell-01,1,tcp,0,60,geneve10,192.168.101.2,14016.1,9325,8.49,22.84,1,1,1,1,yes,ok
hp1-hp3,geneve,cell-01,2,tcp,0,60,geneve10,192.168.101.2,11811.9,12562,9.62,19.91,1,1,1,1,yes,ok
hp1-hp3,geneve,cell-01,3,tcp,0,60,geneve10,192.168.101.2,14291.5,7919,8.24,23.39,1,1,1,1,yes,ok
hp1-hp3,geneve,cell-02,1,tcp,1,60,geneve10,192.168.101.2,14295.6,11119,8.28,23.46,1,1,1,1,yes,ok
hp1-hp3,geneve,cell-02,2,tcp,1,60,geneve10,192.168.101.2,14169.7,8605,8.49,23.18,1,1,1,1,yes,ok
hp1-hp3,geneve,cell-02,3,tcp,1,60,geneve10,192.168.101.2,14536.9,8558,8.14,23.59,1,1,1,1,yes,ok
hp1-hp3,geneve,cell-03,1,udp,0,60,geneve10,192.168.101.2,6064.4,0,9.86,14.23,1,1,1,1,yes,ok
hp1-hp3,geneve,cell-03,2,udp,0,60,geneve10,192.168.101.2,5999.5,0,9.98,14.11,1,1,1,1,yes,ok
hp1-hp3,geneve,cell-03,3,udp,0,60,geneve10,192.168.101.2,6018.9,0,9.83,14.25,1,1,1,1,yes,ok
hp1-hp3,geneve,cell-04,1,udp,1,60,geneve10,192.168.101.2,6000.9,0,10.27,14.08,1,1,1,1,yes,ok
hp1-hp3,geneve,cell-04,2,udp,1,60,geneve10,192.168.101.2,5996.1,0,9.96,14.15,1,1,1,1,yes,ok
hp1-hp3,geneve,cell-04,3,udp,1,60,geneve10,192.168.101.2,5963.0,0,10.03,14.09,1,1,1,1,yes,ok
hp2-hp5,eth_ip,cell-01,1,tcp,0,60,enp1s0f0np0,10.10.0.5,9412.2,5330,14.25,11.37,1,1,1,1,yes,ok
hp2-hp5,eth_ip,cell-01,2,tcp,0,60,enp1s0f0np0,10.10.0.5,9411.8,4557,14.17,11.50,1,1,1,1,yes,ok
hp2-hp5,eth_ip,cell-01,3,tcp,0,60,enp1s0f0np0,10.10.0.5,9412.7,4555,14.24,11.39,1,1,1,1,yes,ok
